id	theme	file	title	tags	cpts	params
nmosfet-simple-amplifier	04_transistores	sch/04_transistores/nmosfet_simple_amplifier.sch	Nmosfet simple amplifier	cpt:m, cpt:p, cpt:r, cpt:v, cpt:w, etiqueta, etiqueta-f, etiqueta-v, kind, kind:nfet, tierra, transistor, visibilidad-nodos	m,p,r,v,w	bipole flow style,bipole voltage style,down,draw_nodes,f,implicit,kind,l,label_nodes,right,up,v
q1	04_transistores	sch/04_transistores/Q1.sch	Q1	cpt:q, cpt:r, transistor	q,r	down,right
q1b	04_transistores	sch/04_transistores/Q1b.sch	Q1b	cpt:q, transistor	q	right
q1c	04_transistores	sch/04_transistores/Q1c.sch	Q1c	cpt:p, cpt:q, transistor	p,q	down,right
q2	04_transistores	sch/04_transistores/Q2.sch	Q2	cpt:q, cpt:r, transistor	q,r	down,right
q3	04_transistores	sch/04_transistores/Q3.sch	Q3	cpt:q, transistor	q	up
qnpndown	04_transistores	sch/04_transistores/Qnpndown.sch	Qnpndown	cpt:q, transistor	q	down
qnpnleft	04_transistores	sch/04_transistores/Qnpnleft.sch	Qnpnleft	cpt:q, transistor	q	left
qnpnright	04_transistores	sch/04_transistores/Qnpnright.sch	Qnpnright	cpt:q, transistor	q	right
qnpnrot45	04_transistores	sch/04_transistores/Qnpnrot45.sch	Qnpnrot45	cpt:q, rotacion, transistor	q	rotate
qnpnup	04_transistores	sch/04_transistores/Qnpnup.sch	Qnpnup	cpt:q, transistor	q	up
qpnpdown	04_transistores	sch/04_transistores/Qpnpdown.sch	Qpnpdown	cpt:q, transistor	q	down
qpnpleft	04_transistores	sch/04_transistores/Qpnpleft.sch	Qpnpleft	cpt:q, transistor	q	left
qpnpright	04_transistores	sch/04_transistores/Qpnpright.sch	Qpnpright	cpt:q, transistor	q	right
qpnpup	04_transistores	sch/04_transistores/Qpnpup.sch	Qpnpup	cpt:q, transistor	q	up
totem	04_transistores	sch/04_transistores/totem.sch	Totem	cpt:q, transistor	q	right
